region,url,bounds,polygon
ARRA-AK_EkluntaGlacier_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AK_EkluntaGlacier_2010/ept.json,"[-16603766, 8652921, -22853, -16555184, 8701503, 25729]","POLYGON ((-16603766 8652921, -16603766 8701503, -16555184 8701503, -16555184 8652921, -16603766 8652921))"
ARRA-AL_MobileBay_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AL_MobileBay_2010/ept.json,"[-9800749, 3540495, -36278, -9727125, 3614119, 37346]","POLYGON ((-9800749 3540495, -9800749 3614119, -9727125 3614119, -9727125 3540495, -9800749 3540495))"
ARRA-AL_TennesseeRiver_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AL_TennesseeRiver_2010/ept.json,"[-9938965, 3832734, -117185, -9704069, 4067630, 117711]","POLYGON ((-9938965 3832734, -9938965 4067630, -9704069 4067630, -9704069 3832734, -9938965 3832734))"
ARRA-CA_CentralCoast-Z3_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_CentralCoast-Z3_2010/ept.json,"[-13621084, 4395815, -45935, -13528984, 4487915, 46165]","POLYGON ((-13621084 4395815, -13621084 4487915, -13528984 4487915, -13528984 4395815, -13621084 4395815))"
ARRA-CA_CentralCoast-Z4_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_CentralCoast-Z4_2010/ept.json,"[-13590521, 4270733, -81493, -13426673, 4434581, 82355]","POLYGON ((-13590521 4270733, -13590521 4434581, -13426673 4434581, -13426673 4270733, -13590521 4270733))"
ARRA-CA_ChannelIslands-10_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_ChannelIslands-10_2010/ept.json,"[-13411348, 3998023, -28335, -13353676, 4055695, 29337]","POLYGON ((-13411348 3998023, -13411348 4055695, -13353676 4055695, -13353676 3998023, -13411348 3998023))"
ARRA-CA_ChannelIslands-11_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_ChannelIslands-11_2010/ept.json,"[-13387398, 3928047, -68890, -13248460, 4066985, 70048]","POLYGON ((-13387398 3928047, -13387398 4066985, -13248460 4066985, -13248460 3928047, -13387398 3928047))"
ARRA-CA_GoldenGate_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_GoldenGate_2010/ept.json,"[-13720506, 4498165, -67129, -13585440, 4633231, 67937]","POLYGON ((-13720506 4498165, -13720506 4633231, -13585440 4633231, -13585440 4498165, -13720506 4498165))"
ARRA-CA_SanFranCoast_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_SanFranCoast_2010/ept.json,"[-13694835, 4483742, -61668, -13569237, 4609340, 63930]","POLYGON ((-13694835 4483742, -13694835 4609340, -13569237 4609340, -13569237 4483742, -13694835 4483742))"
ARRA-CO_GrandCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CO_GrandCo_2010/ept.json,"[-11840024, 4792671, -56144, -11722632, 4910063, 61248]","POLYGON ((-11840024 4792671, -11840024 4910063, -11722632 4910063, -11722632 4792671, -11840024 4792671))"
ARRA-FL_Charlotte-E_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_Charlotte-E_2010/ept.json,"[-9084779, 3094427, -8774, -9065857, 3113349, 10148]","POLYGON ((-9084779 3094427, -9084779 3113349, -9065857 3113349, -9065857 3094427, -9084779 3094427))"
ARRA-FL_Charlotte-W_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_Charlotte-W_2010/ept.json,"[-9103062, 3096199, -11373, -9078994, 3120267, 12695]","POLYGON ((-9103062 3096199, -9103062 3120267, -9078994 3120267, -9078994 3096199, -9103062 3096199))"
ARRA-FL_KissimmeeRiver_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_KissimmeeRiver_2011/ept.json,"[-9070581, 3171193, -32106, -9005243, 3236531, 33232]","POLYGON ((-9070581 3171193, -9070581 3236531, -9005243 3236531, -9005243 3171193, -9070581 3171193))"
ARRA-FL_LibertyCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_LibertyCo_2010/ept.json,"[-9503474, 3502055, -40299, -9421760, 3583769, 41415]","POLYGON ((-9503474 3502055, -9503474 3583769, -9421760 3583769, -9421760 3502055, -9503474 3502055))"
ARRA-FL_SuwanneeRiver_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_SuwanneeRiver_2011/ept.json,"[-9287698, 3494213, -54354, -9178522, 3603389, 54822]","POLYGON ((-9287698 3494213, -9287698 3603389, -9178522 3603389, -9178522 3494213, -9287698 3494213))"
ARRA-FL_UpperStJohnsRiver_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_UpperStJohnsRiver_2010/ept.json,"[-9052187, 3260141, -43915, -8963359, 3348969, 44913]","POLYGON ((-9052187 3260141, -9052187 3348969, -8963359 3348969, -8963359 3260141, -9052187 3260141))"
ARRA-GA_LakeLanier_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-GA_LakeLanier_2010/ept.json,"[-9372429, 4041232, -60464, -9249099, 4164562, 62866]","POLYGON ((-9372429 4041232, -9372429 4164562, -9249099 4164562, -9249099 4041232, -9372429 4041232))"
ARRA-IL_LakeCo_2007,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-IL_LakeCo_2007/ept.json,"[-9819590, 5183551, -25383, -9767344, 5235797, 26863]","POLYGON ((-9819590 5183551, -9819590 5235797, -9767344 5235797, -9767344 5183551, -9819590 5183551))"
ARRA-IN_Flood_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-IN_Flood_2010/ept.json,"[-9854076, 4700309, -207274, -9437696, 5116689, 209106]","POLYGON ((-9854076 4700309, -9854076 5116689, -9437696 5116689, -9437696 4700309, -9854076 4700309))"
ARRA-LA_Coastal-Z15_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LA_Coastal-Z15_2011/ept.json,"[-10256615, 3323972, -105216, -10045421, 3535166, 105978]","POLYGON ((-10256615 3323972, -10256615 3535166, -10045421 3535166, -10045421 3323972, -10256615 3323972))"
ARRA-LA_Coastal-Z16_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LA_Coastal-Z16_2011/ept.json,"[-10051791, 3363098, -86508, -9878065, 3536824, 87218]","POLYGON ((-10051791 3363098, -10051791 3536824, -9878065 3536824, -9878065 3363098, -10051791 3363098))"
ARRA-LFTNE_ConnecticutZ18_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_ConnecticutZ18_2010/ept.json,"[-8207630, 5002650, -35539, -8135274, 5075006, 36817]","POLYGON ((-8207630 5002650, -8207630 5075006, -8135274 5075006, -8135274 5002650, -8207630 5002650))"
ARRA-LFTNE_ConnecticutZ19_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_ConnecticutZ19_2011/ept.json,"[-8052420, 5056933, -53904, -7945012, 5164341, 53504]","POLYGON ((-8052420 5056933, -8052420 5164341, -7945012 5164341, -7945012 5056933, -8052420 5056933))"
ARRA-LFTNE_Massachusetts_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_Massachusetts_2011/ept.json,"[-7994982, 5082966, -106293, -7782402, 5295546, 106287]","POLYGON ((-7994982 5082966, -7994982 5295546, -7782402 5295546, -7782402 5082966, -7994982 5082966))"
ARRA-LFTNE_NewHampshire_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_NewHampshire_2011/ept.json,"[-7957116, 5263348, -52736, -7850314, 5370150, 54066]","POLYGON ((-7957116 5263348, -7957116 5370150, -7850314 5370150, -7850314 5263348, -7957116 5263348))"
ARRA-LFTNE_NewYork_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_NewYork_2010/ept.json,"[-8300763, 4949772, -81587, -8136371, 5114164, 82805]","POLYGON ((-8300763 4949772, -8300763 5114164, -8136371 5114164, -8136371 4949772, -8300763 4949772))"
ARRA-LFTNE_RhodeIsland_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_RhodeIsland_2011/ept.json,"[-8025923, 5033699, -66235, -7893883, 5165739, 65805]","POLYGON ((-8025923 5033699, -8025923 5165739, -7893883 5165739, -7893883 5033699, -8025923 5033699))"
ARRA-MI_4SECounties_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MI_4SECounties_2010/ept.json,"[-9382114, 5117073, -111344, -9158558, 5340629, 112212]","POLYGON ((-9382114 5117073, -9382114 5340629, -9158558 5340629, -9158558 5117073, -9382114 5117073))"
ARRA-MI_LowerPeninsula_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MI_LowerPeninsula_2010/ept.json,"[-9404803, 5382538, -81561, -9239453, 5547888, 83789]","POLYGON ((-9404803 5382538, -9404803 5547888, -9239453 5547888, -9239453 5382538, -9404803 5382538))"
ARRA-MI_TriCounty_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MI_TriCounty_2010/ept.json,"[-9474180, 5221561, -54840, -9363550, 5332191, 55790]","POLYGON ((-9474180 5221561, -9474180 5332191, -9363550 5332191, -9363550 5221561, -9474180 5221561))"
ARRA-MO_StoneCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MO_StoneCo_2010/ept.json,"[-10429484, 4387734, -24482, -10378058, 4439160, 26944]","POLYGON ((-10429484 4387734, -10429484 4439160, -10378058 4439160, -10378058 4387734, -10429484 4387734))"
ARRA-NE_PlatteRiver_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NE_PlatteRiver_2010/ept.json,"[-11583929, 5118323, -32261, -11517235, 5185017, 34433]","POLYGON ((-11583929 5118323, -11583929 5185017, -11517235 5185017, -11517235 5118323, -11583929 5118323))"
ARRA-NJ_3Counties_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NJ_3Counties_2010/ept.json,"[-8361710, 4763035, -69405, -8222262, 4902483, 70043]","POLYGON ((-8361710 4763035, -8361710 4902483, -8222262 4902483, -8222262 4763035, -8361710 4763035))"
ARRA-NRCS_Illinois_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NRCS_Illinois_2010/ept.json,"[-10002136, 4721425, -17332, -9965780, 4757781, 19024]","POLYGON ((-10002136 4721425, -10002136 4757781, -9965780 4757781, -9965780 4721425, -10002136 4721425))"
ARRA-NRCS_Kentucky_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NRCS_Kentucky_2010/ept.json,"[-9747480, 4405183, -15559, -9715976, 4436687, 15945]","POLYGON ((-9747480 4405183, -9747480 4436687, -9715976 4436687, -9715976 4405183, -9747480 4405183))"
ARRA-OR_SandyRiver_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-OR_SandyRiver_2010/ept.json,"[-13628527, 5678143, -17801, -13592347, 5714323, 18379]","POLYGON ((-13628527 5678143, -13628527 5714323, -13592347 5714323, -13592347 5678143, -13628527 5678143))"
ARRA-SC_AllendaleCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_AllendaleCo_2010/ept.json,"[-9085925, 3858960, -29890, -9025957, 3918928, 30078]","POLYGON ((-9085925 3858960, -9085925 3918928, -9025957 3918928, -9025957 3858960, -9085925 3858960))"
ARRA-SC_BambergCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_BambergCo_2010/ept.json,"[-9047051, 3897147, -29880, -8988537, 3955661, 28634]","POLYGON ((-9047051 3897147, -9047051 3955661, -8988537 3955661, -8988537 3897147, -9047051 3897147))"
ARRA-SC_HamptonCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_HamptonCo_2010/ept.json,"[-9065706, 3832721, -34447, -8996934, 3901493, 34325]","POLYGON ((-9065706 3832721, -9065706 3901493, -8996934 3901493, -8996934 3832721, -9065706 3832721))"
ARRA-SC_LeeCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_LeeCo_2010/ept.json,"[-8960936, 4021649, -27840, -8903654, 4078931, 29442]","POLYGON ((-8960936 4021649, -8960936 4078931, -8903654 4078931, -8903654 4021649, -8960936 4021649))"
ARRA-TN_SmokyMtns_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TN_SmokyMtns_2011/ept.json,"[-9354666, 4201978, -51504, -9250230, 4306414, 52932]","POLYGON ((-9354666 4201978, -9354666 4306414, -9250230 4306414, -9250230 4201978, -9354666 4201978))"
ARRA-TX_CalhounCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_CalhounCo_2010/ept.json,"[-10798667, 3257020, -42179, -10714135, 3341552, 42353]","POLYGON ((-10798667 3257020, -10798667 3341552, -10714135 3341552, -10714135 3257020, -10798667 3257020))"
ARRA-TX_HidalgoCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_HidalgoCo_2010/ept.json,"[-10971530, 3011182, -39754, -10892232, 3090480, 39544]","POLYGON ((-10971530 3011182, -10971530 3090480, -10892232 3090480, -10892232 3011182, -10971530 3011182))"
ARRA-TX_NuecesCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_NuecesCo_2010/ept.json,"[-10903020, 3170733, -50027, -10802720, 3271033, 50273]","POLYGON ((-10903020 3170733, -10903020 3271033, -10802720 3271033, -10802720 3170733, -10903020 3170733))"
ARRA-TX_WilacyCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_WilacyCo_2010/ept.json,"[-10910655, 3016365, -43841, -10822833, 3104187, 43981]","POLYGON ((-10910655 3016365, -10910655 3104187, -10822833 3104187, -10822833 3016365, -10910655 3016365))"
ARRA-WI_BrownCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-WI_BrownCo_2010/ept.json,"[-9830659, 5502714, -33215, -9762415, 5570958, 35029]","POLYGON ((-9830659 5502714, -9830659 5570958, -9762415 5570958, -9762415 5502714, -9830659 5502714))"
AR_BuffaloRiver_2009,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_BuffaloRiver_2009/ept.json,"[-10380555, 4299615, -13777, -10352711, 4327459, 14067]","POLYGON ((-10380555 4299615, -10380555 4327459, -10352711 4327459, -10352711 4299615, -10380555 4299615))"
AR_BuffaloRiver_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_BuffaloRiver_2010/ept.json,"[-10402037, 4247358, -58479, -10282765, 4366630, 60793]","POLYGON ((-10402037 4247358, -10402037 4366630, -10282765 4366630, -10282765 4247358, -10402037 4247358))"
AR_Dardanelle_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_Dardanelle_2011/ept.json,"[-10446675, 4195165, -18653, -10406949, 4234891, 21073]","POLYGON ((-10446675 4195165, -10446675 4234891, -10406949 4234891, -10406949 4195165, -10446675 4195165))"
AR_FEMA-ChicotDesha_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_FEMA-ChicotDesha_2011/ept.json,"[-10264448, 3894552, -82073, -10098570, 4060430, 83805]","POLYGON ((-10264448 3894552, -10264448 4060430, -10098570 4060430, -10098570 3894552, -10264448 3894552))"
AR_FEMA-VI-BayouMeto_2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_FEMA-VI-BayouMeto_2012/ept.json,"[-10272804, 4077758, -46952, -10176936, 4173626, 48916]","POLYGON ((-10272804 4077758, -10272804 4173626, -10176936 4173626, -10176936 4077758, -10272804 4077758))"
AR_LowerStFrancisRiver-FEMA_2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_LowerStFrancisRiver-FEMA_2012/ept.json,"[-10121457, 4252519, -60448, -9999223, 4374753, 61786]","POLYGON ((-10121457 4252519, -10121457 4374753, -9999223 4374753, -9999223 4252519, -10121457 4252519))"
AR_McKinneyPosten_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_McKinneyPosten_2011/ept.json,"[-10445617, 3961795, -7139, -10430075, 3977337, 8403]","POLYGON ((-10445617 3961795, -10445617 3977337, -10430075 3977337, -10430075 3961795, -10445617 3961795))"
AR_PAgis_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_PAgis_2010/ept.json,"[-10326515, 4093951, -38369, -10249255, 4171211, 38891]","POLYGON ((-10326515 4093951, -10326515 4171211, -10249255 4171211, -10249255 4093951, -10326515 4093951))"
AR_UpperBlackWatershed-FEMA_2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_UpperBlackWatershed-FEMA_2012/ept.json,"[-10104451, 4334309, -16810, -10069527, 4369233, 18114]","POLYGON ((-10104451 4334309, -10104451 4369233, -10069527 4369233, -10069527 4334309, -10104451 4334309))"
AR_UpperWhiteVillage-FEMA_2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_UpperWhiteVillage-FEMA_2012/ept.json,"[-10182080, 4218633, -18652, -10144234, 4256479, 19194]","POLYGON ((-10182080 4218633, -10182080 4256479, -10144234 4256479, -10144234 4218633, -10182080 4218633))"
AZ_Black_Mesa_CoalMine_2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_Black_Mesa_CoalMine_2012/ept.json,"[-12305452, 4350695, -15455, -12270078, 4386069, 19919]","POLYGON ((-12305452 4350695, -12305452 4386069, -12270078 4386069, -12270078 4350695, -12305452 4350695))"
