region,location,bounds
AK_NorthSlope_B8_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B8_2018/ept.json,"[-17834433, 11247373, -25662, -17782965, 11298841, 25806]"
AK_NorthSlope_B9_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B9_2018/ept.json,"[-16896611, 10483668, -4530, -16885307, 10494972, 6774]"
AK_ValdezB_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_ValdezB_2007/ept.json,"[-16324046, 8607668, -39681, -16242942, 8688772, 41423]"
AK_Valdez_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Valdez_2007/ept.json,"[-16324097, 8595907, -39642, -16243073, 8676931, 41382]"
AK_YukonFlats_2009/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_YukonFlats_2009/ept.json,"[-16355534, 9810051, -115199, -16124550, 10041035, 115785]"
AL_25Co_TL_2017/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_25Co_TL_2017/ept.json,"[-9738245, 3679488, -76796, -9583993, 3833740, 77456]"
AL_BaldwinCo-East_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BaldwinCo-East_2011/ept.json,"[-9769660, 3541928, -28229, -9711848, 3599740, 29583]"
AL_BaldwinCo-West_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BaldwinCo-West_2011/ept.json,"[-9806543, 3585333, -14547, -9776607, 3615269, 15389]"
AL_BlountCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BlountCo_2010/ept.json,"[-9680980, 3993429, -36796, -9606762, 4067647, 37422]"
AL_ColbertLauderdale_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_ColbertLauderdale_2011/ept.json,"[-9819698, 4079099, -56296, -9707786, 4191011, 55616]"
AL_NorthAL_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_NorthAL_2019/ept.json,"[-9680134, 4083753, -40167, -9599032, 4164855, 40935]"
AL_TriCounty_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_TriCounty_2010/ept.json,"[-9638897, 3908730, -59670, -9519967, 4027660, 59260]"
AR-TN_NRCS_CaneCreek_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR-TN_NRCS_CaneCreek_2010/ept.json,"[-9988653, 4246921, -16161, -9955677, 4279897, 16815]"
AR-TN_NRCS_Sharkey_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR-TN_NRCS_Sharkey_2010/ept.json,"[-10049752, 4228773, -41023, -9967132, 4311393, 41597]"
ARRA-AK_EkluntaGlacier_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AK_EkluntaGlacier_2010/ept.json,"[-16603766, 8652921, -22853, -16555184, 8701503, 25729]"
ARRA-AL_MobileBay_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AL_MobileBay_2010/ept.json,"[-9800749, 3540495, -36278, -9727125, 3614119, 37346]"
ARRA-AL_TennesseeRiver_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-AL_TennesseeRiver_2010/ept.json,"[-9938965, 3832734, -117185, -9704069, 4067630, 117711]"
ARRA-CA_CentralCoast-Z3_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_CentralCoast-Z3_2010/ept.json,"[-13621084, 4395815, -45935, -13528984, 4487915, 46165]"
ARRA-CA_CentralCoast-Z4_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_CentralCoast-Z4_2010/ept.json,"[-13590521, 4270733, -81493, -13426673, 4434581, 82355]"
ARRA-CA_ChannelIslands-10_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_ChannelIslands-10_2010/ept.json,"[-13411348, 3998023, -28335, -13353676, 4055695, 29337]"
ARRA-CA_ChannelIslands-11_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_ChannelIslands-11_2010/ept.json,"[-13387398, 3928047, -68890, -13248460, 4066985, 70048]"
ARRA-CA_GoldenGate_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_GoldenGate_2010/ept.json,"[-13720506, 4498165, -67129, -13585440, 4633231, 67937]"
ARRA-CA_SanFranCoast_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CA_SanFranCoast_2010/ept.json,"[-13694835, 4483742, -61668, -13569237, 4609340, 63930]"
ARRA-CO_GrandCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-CO_GrandCo_2010/ept.json,"[-11840024, 4792671, -56144, -11722632, 4910063, 61248]"
ARRA-FL_Charlotte-E_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_Charlotte-E_2010/ept.json,"[-9084779, 3094427, -8774, -9065857, 3113349, 10148]"
ARRA-FL_Charlotte-W_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_Charlotte-W_2010/ept.json,"[-9103062, 3096199, -11373, -9078994, 3120267, 12695]"
ARRA-FL_KissimmeeRiver_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_KissimmeeRiver_2011/ept.json,"[-9070581, 3171193, -32106, -9005243, 3236531, 33232]"
ARRA-FL_LibertyCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_LibertyCo_2010/ept.json,"[-9503474, 3502055, -40299, -9421760, 3583769, 41415]"
ARRA-FL_SuwanneeRiver_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_SuwanneeRiver_2011/ept.json,"[-9287698, 3494213, -54354, -9178522, 3603389, 54822]"
ARRA-FL_UpperStJohnsRiver_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-FL_UpperStJohnsRiver_2010/ept.json,"[-9052187, 3260141, -43915, -8963359, 3348969, 44913]"
ARRA-GA_LakeLanier_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-GA_LakeLanier_2010/ept.json,"[-9372429, 4041232, -60464, -9249099, 4164562, 62866]"
ARRA-IL_LakeCo_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-IL_LakeCo_2007/ept.json,"[-9819590, 5183551, -25383, -9767344, 5235797, 26863]"
ARRA-IN_Flood_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-IN_Flood_2010/ept.json,"[-9854076, 4700309, -207274, -9437696, 5116689, 209106]"
ARRA-LA_Coastal-Z15_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LA_Coastal-Z15_2011/ept.json,"[-10256615, 3323972, -105216, -10045421, 3535166, 105978]"
ARRA-LA_Coastal-Z16_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LA_Coastal-Z16_2011/ept.json,"[-10051791, 3363098, -86508, -9878065, 3536824, 87218]"
ARRA-LFTNE_ConnecticutZ18_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_ConnecticutZ18_2010/ept.json,"[-8207630, 5002650, -35539, -8135274, 5075006, 36817]"
ARRA-LFTNE_ConnecticutZ19_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_ConnecticutZ19_2011/ept.json,"[-8052420, 5056933, -53904, -7945012, 5164341, 53504]"
ARRA-LFTNE_Massachusetts_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_Massachusetts_2011/ept.json,"[-7994982, 5082966, -106293, -7782402, 5295546, 106287]"
ARRA-LFTNE_NewHampshire_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_NewHampshire_2011/ept.json,"[-7957116, 5263348, -52736, -7850314, 5370150, 54066]"
ARRA-LFTNE_NewYork_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_NewYork_2010/ept.json,"[-8300763, 4949772, -81587, -8136371, 5114164, 82805]"
ARRA-LFTNE_RhodeIsland_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-LFTNE_RhodeIsland_2011/ept.json,"[-8025923, 5033699, -66235, -7893883, 5165739, 65805]"
ARRA-MI_4SECounties_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MI_4SECounties_2010/ept.json,"[-9382114, 5117073, -111344, -9158558, 5340629, 112212]"
ARRA-MI_LowerPeninsula_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MI_LowerPeninsula_2010/ept.json,"[-9404803, 5382538, -81561, -9239453, 5547888, 83789]"
ARRA-MI_TriCounty_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MI_TriCounty_2010/ept.json,"[-9474180, 5221561, -54840, -9363550, 5332191, 55790]"
ARRA-MO_StoneCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-MO_StoneCo_2010/ept.json,"[-10429484, 4387734, -24482, -10378058, 4439160, 26944]"
ARRA-NE_PlatteRiver_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NE_PlatteRiver_2010/ept.json,"[-11583929, 5118323, -32261, -11517235, 5185017, 34433]"
ARRA-NJ_3Counties_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NJ_3Counties_2010/ept.json,"[-8361710, 4763035, -69405, -8222262, 4902483, 70043]"
ARRA-NRCS_Illinois_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NRCS_Illinois_2010/ept.json,"[-10002136, 4721425, -17332, -9965780, 4757781, 19024]"
ARRA-NRCS_Kentucky_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-NRCS_Kentucky_2010/ept.json,"[-9747480, 4405183, -15559, -9715976, 4436687, 15945]"
ARRA-OR_SandyRiver_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-OR_SandyRiver_2010/ept.json,"[-13628527, 5678143, -17801, -13592347, 5714323, 18379]"
ARRA-SC_AllendaleCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_AllendaleCo_2010/ept.json,"[-9085925, 3858960, -29890, -9025957, 3918928, 30078]"
ARRA-SC_BambergCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_BambergCo_2010/ept.json,"[-9047051, 3897147, -29880, -8988537, 3955661, 28634]"
ARRA-SC_HamptonCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_HamptonCo_2010/ept.json,"[-9065706, 3832721, -34447, -8996934, 3901493, 34325]"
ARRA-SC_LeeCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-SC_LeeCo_2010/ept.json,"[-8960936, 4021649, -27840, -8903654, 4078931, 29442]"
ARRA-TN_SmokyMtns_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TN_SmokyMtns_2011/ept.json,"[-9354666, 4201978, -51504, -9250230, 4306414, 52932]"
ARRA-TX_CalhounCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_CalhounCo_2010/ept.json,"[-10798667, 3257020, -42179, -10714135, 3341552, 42353]"
ARRA-TX_HidalgoCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_HidalgoCo_2010/ept.json,"[-10971530, 3011182, -39754, -10892232, 3090480, 39544]"
ARRA-TX_NuecesCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_NuecesCo_2010/ept.json,"[-10903020, 3170733, -50027, -10802720, 3271033, 50273]"
ARRA-TX_WilacyCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-TX_WilacyCo_2010/ept.json,"[-10910655, 3016365, -43841, -10822833, 3104187, 43981]"
ARRA-WI_BrownCo_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/ARRA-WI_BrownCo_2010/ept.json,"[-9830659, 5502714, -33215, -9762415, 5570958, 35029]"
AR_BuffaloRiver_2009/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_BuffaloRiver_2009/ept.json,"[-10380555, 4299615, -13777, -10352711, 4327459, 14067]"
AR_BuffaloRiver_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_BuffaloRiver_2010/ept.json,"[-10402037, 4247358, -58479, -10282765, 4366630, 60793]"
AR_Dardanelle_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_Dardanelle_2011/ept.json,"[-10446675, 4195165, -18653, -10406949, 4234891, 21073]"
AR_FEMA-ChicotDesha_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_FEMA-ChicotDesha_2011/ept.json,"[-10264448, 3894552, -82073, -10098570, 4060430, 83805]"
AR_FEMA-VI-BayouMeto_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_FEMA-VI-BayouMeto_2012/ept.json,"[-10272804, 4077758, -46952, -10176936, 4173626, 48916]"
AR_LowerStFrancisRiver-FEMA_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_LowerStFrancisRiver-FEMA_2012/ept.json,"[-10121457, 4252519, -60448, -9999223, 4374753, 61786]"
AR_McKinneyPosten_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_McKinneyPosten_2011/ept.json,"[-10445617, 3961795, -7139, -10430075, 3977337, 8403]"
AR_PAgis_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_PAgis_2010/ept.json,"[-10326515, 4093951, -38369, -10249255, 4171211, 38891]"
AR_UpperBlackWatershed-FEMA_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_UpperBlackWatershed-FEMA_2012/ept.json,"[-10104451, 4334309, -16810, -10069527, 4369233, 18114]"
AR_UpperWhiteVillage-FEMA_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR_UpperWhiteVillage-FEMA_2012/ept.json,"[-10182080, 4218633, -18652, -10144234, 4256479, 19194]"
AZ_Black_Mesa_CoalMine_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_Black_Mesa_CoalMine_2012/ept.json,"[-12305452, 4350695, -15455, -12270078, 4386069, 19919]"
AZ_BrawleyRillito_TL_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_BrawleyRillito_TL_2018/ept.json,"[-12468418, 3703535, -53762, -12358244, 3813709, 56412]"
AZ_Cochise-FEMA_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_Cochise-FEMA_2012/ept.json,"[-12212387, 3666878, -11969, -12185605, 3693660, 14813]"
AZ_CochiseCounty_2_2020/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_CochiseCounty_2_2020/ept.json,"[-12293471, 3810968, -36446, -12217029, 3887410, 39996]"
AZ_Coconino_B1_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_Coconino_B1_2019/ept.json,"[-12493181, 4097838, -66152, -12355423, 4235596, 71606]"
AZ_FEMA_Central_2017/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_FEMA_Central_2017/ept.json,"[-12422611, 3942940, -6670, -12407837, 3957714, 8104]"
AZ_FEMA_East_2017/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_FEMA_East_2017/ept.json,"[-12530094, 3675988, -206520, -12116116, 4089966, 207458]"
AZ_NavajoCorridor_1_2020/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_NavajoCorridor_1_2020/ept.json,"[-12329682, 4123300, -36710, -12253164, 4199818, 39808]"
AZ_NorthKaibabNF_B1_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_NorthKaibabNF_B1_2019/ept.json,"[-12544006, 4336736, -45252, -12449730, 4431012, 49024]"
AZ_OrganPipeCactusNM_1_2020/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_OrganPipeCactusNM_1_2020/ept.json,"[-12588909, 3737623, -26111, -12535161, 3791371, 27637]"
AZ_SanCarlosReservation_2013/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_SanCarlosReservation_2013/ept.json,"[-12233799, 3939340, -6445, -12216767, 3956372, 10587]"
AZ_Tucson_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AZ_Tucson_2011/ept.json,"[-12417461, 3722859, -66272, -12280261, 3860059, 70928]"
CA_AlamedaCo_2006/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_AlamedaCo_2006/ept.json,"[-11770929, 4840238, 161, -11767223, 4843944, 3867]"
CA_CalaverasTuolumne_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_CalaverasTuolumne_2011/ept.json,"[-13469941, 4526002, -47102, -13373915, 4622028, 48924]"
CA_ContraCostaCo_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_ContraCostaCo_2007/ept.json,"[-13583567, 4547199, -23828, -13535733, 4595033, 24006]"
CA_DayFire_2007/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_DayFire_2007/ept.json,"[-13250846, 4083496, -22925, -13201376, 4132966, 26545]"
CA_FEMAR9Estrella_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_FEMAR9Estrella_2019/ept.json,"[-13475705, 4157536, -71, -13307393, 4325848, 168241]"
CA_FEMAR9PanocheSanLuis_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_FEMAR9PanocheSanLuis_2019/ept.json,"[-13473346, 4348284, -28659, -13414292, 4407338, 30395]"
CA_FEMA_Z1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_FEMA_Z1_2018/ept.json,"[-13759579, 4848966, -128899, -13500085, 5108460, 130595]"
CA_FEMA_Z4_B1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_FEMA_Z4_B1_2018/ept.json,"[-13604296, 4318487, -90315, -13422432, 4500351, 91549]"
CA_FEMA_Z4_B2_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_FEMA_Z4_B2_2018/ept.json,"[-13570845, 4157019, -94782, -13379863, 4348001, 96200]"
CA_FEMA_Z4_QL1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_FEMA_Z4_QL1_2018/ept.json,"[-13458345, 4324185, -8496, -13440151, 4342379, 9698]"
CA_MountainPass_B1_2019/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_MountainPass_B1_2019/ept.json,"[-12920531, 4137625, -81584, -12754373, 4303783, 84574]"
CA_NoCAL_Wildfires_TL_QL1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_NoCAL_Wildfires_TL_QL1_2018/ept.json,"[-13545279, 4782892, -23296, -13497535, 4830636, 24448]"
CA_NoCAL_Wildfires_TL_QL2_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_NoCAL_Wildfires_TL_QL2_2018/ept.json,"[-13833397, 4532182, -236748, -13357535, 5008044, 239114]"
CA_OrangeCo_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_OrangeCo_2011/ept.json,"[-13151931, 3951836, -36020, -13079627, 4024140, 36284]"
CA_PlacerCo_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_PlacerCo_2012/ept.json,"[-13512406, 4649504, -76427, -13357014, 4804896, 78965]"
CA_SaltonSea_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_SaltonSea_2010/ept.json,"[-12930243, 3901069, -35507, -12858611, 3972701, 36125]"
CA_SantaClaraCounty_2020/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_SantaClaraCounty_2020/ept.json,"[-13609013, 4404918, -59871, -13487521, 4526410, 61621]"
CA_Scripps-Apr_2004/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Apr_2004/ept.json,"[-13119734, 3873880, -41696, -13036246, 3957368, 41792]"
CA_Scripps-Apr_2005/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Apr_2005/ept.json,"[-13178950, 3837323, -80196, -13018426, 3997847, 80328]"
CA_Scripps-Dec_2002/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Dec_2002/ept.json,"[-13121128, 3873238, -42479, -13036268, 3958098, 42381]"
CA_Scripps-Mar_2003/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Mar_2003/ept.json,"[-13120307, 3873675, -42019, -13036165, 3957817, 42123]"
CA_Scripps-Mar_2006/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Mar_2006/ept.json,"[-13181565, 3830458, -83623, -13014187, 3997836, 83755]"
CA_Scripps-May_2002/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-May_2002/ept.json,"[-13119610, 3873810, -42083, -13035300, 3958120, 42227]"
CA_Scripps-Oct_2003/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Oct_2003/ept.json,"[-13158204, 3830751, -74017, -13010046, 3978909, 74141]"
CA_Scripps-Oct_2005/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Oct_2005/ept.json,"[-13180262, 3833549, -81941, -13016250, 3997561, 82071]"
CA_Scripps-Sep_2002/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Sep_2002/ept.json,"[-13122747, 3874444, -43038, -13036569, 3960622, 43140]"
CA_Scripps-Sep_2004/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CA_Scripps-Sep_2004/ept.json,"[-13179598, 3835599, -81035, -13017394, 3997803, 81169]"
CO_ArkansasValley_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_ArkansasValley_2010/ept.json,"[-11904580, 4599366, -88067, -11722618, 4781328, 93895]"
CO_CentralEasternPlains_1_2020/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_CentralEasternPlains_1_2020/ept.json,"[-11546070, 4744243, -92490, -11358496, 4931817, 95084]"
CO_CentralEasternPlains_2_2020/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_CentralEasternPlains_2_2020/ept.json,"[-11585454, 4538047, -112289, -11358334, 4765167, 114831]"
CO_DenverDNC_2008/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_DenverDNC_2008/ept.json,"[-11724341, 4783807, -44438, -11630695, 4877453, 49208]"
CO_Denver_2008/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_Denver_2008/ept.json,"[-11724341, 4783807, -44438, -11630695, 4877453, 49208]"
CO_Eastern_B1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_Eastern_B1_2018/ept.json,"[-11682481, 4886383, -80153, -11517453, 5051411, 84875]"
CO_Eastern_B2_QL1_Central_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_Eastern_B2_QL1_Central_2018/ept.json,"[-11672694, 4829188, -13194, -11641506, 4860376, 17994]"
CO_Eastern_B2_QL2_Central_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_Eastern_B2_QL2_Central_2018/ept.json,"[-11684017, 4764307, -10645, -11657271, 4791053, 16101]"
CO_Eastern_B2_QL2_North_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_Eastern_B2_QL2_North_2018/ept.json,"[-11678405, 4797138, -78036, -11517461, 4958082, 82908]"
CO_Eastern_B3_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/CO_Eastern_B3_2018/ept.json,"[-11651193, 4693403, -81574, -11482925, 4861671, 86694]"
